Direction,Elevator,Floor,Layout,Region,Renovation,Size,age,Price
7,2,34,9,1,0,72.0,6,345.0
9,2,28,9,1,2,73.0,7,350.0
9,1,26,9,1,2,76.0,8,365.0
9,2,15,16,1,2,86.0,21,490.0
9,2,6,25,1,0,156.0,20,760.0
2,1,20,9,1,2,89.0,20,460.0
2,1,27,16,1,2,97.0,27,614.0
9,0,6,9,1,3,90.0,16,550.0
7,2,14,2,1,3,61.0,6,385.0
3,0,6,9,1,2,59.0,33,335.0
11,1,20,16,1,0,94.0,25,500.0
9,2,6,17,8,2,127.0,21,335.0
9,1,28,9,8,2,130.0,11,475.0
7,0,6,1,8,3,38.0,18,200.0
4,0,6,2,8,2,22.0,15,138.0
9,2,6,2,8,3,56.0,19,252.0
7,0,6,2,8,3,54.0,32,245.0
0,1,15,1,8,2,53.0,12,230.0
9,0,6,16,8,0,118.0,23,370.0
4,2,11,1,8,0,47.0,15,300.0
9,0,6,16,8,0,120.0,18,315.0
9,0,7,10,8,2,91.0,25,360.0
9,2,12,17,8,0,139.0,8,518.0
13,1,24,21,8,3,54.0,13,248.0
7,1,7,6,8,3,38.0,9,125.0
13,0,7,17,8,2,128.0,23,420.0
9,0,7,17,8,2,145.0,21,510.0
9,2,6,17,8,3,212.0,20,750.0
9,0,6,16,8,3,87.0,27,290.0
11,1,17,2,8,2,19.0,11,180.0
4,1,20,5,8,3,30.0,13,110.0
9,1,12,24,8,0,186.0,16,860.0
9,2,2,33,8,3,213.0,18,1500.0
3,2,24,21,8,3,58.0,15,220.0
4,2,7,13,8,3,66.0,12,235.0
9,2,6,16,8,2,131.0,20,445.0
9,2,3,33,8,1,333.0,8,1250.0
9,0,6,16,8,2,123.0,21,318.0
11,2,17,6,3,3,34.0,7,104.0
7,1,19,29,3,3,109.0,7,319.0
9,1,29,16,3,2,141.0,6,760.0
9,1,29,17,3,0,136.0,6,760.0
0,1,19,20,3,2,93.0,7,230.0
9,2,9,28,3,3,93.0,5,330.0
7,1,28,29,3,3,140.0,7,350.0
13,1,20,20,3,2,97.0,7,265.0
9,1,28,29,3,3,157.0,7,405.0
13,1,19,29,3,3,123.0,7,370.0
9,1,33,25,3,0,153.0,6,875.0
7,1,29,9,3,0,88.0,6,480.0
9,2,15,16,3,3,116.0,6,525.0
3,1,12,17,3,2,155.0,14,530.0
9,2,26,24,3,2,169.0,7,788.0
2,1,19,29,3,0,123.0,7,295.0
12,2,8,21,3,3,101.0,7,240.0
9,2,19,9,3,2,84.0,7,354.0
3,2,9,28,3,3,89.0,5,300.0
11,1,14,20,3,3,43.0,6,160.0
7,1,14,13,7,3,35.0,6,160.0
0,2,8,6,7,3,42.0,5,110.0
0,2,8,6,7,0,46.0,5,140.0
9,2,15,33,7,0,234.0,18,658.0
9,2,4,17,7,0,139.0,6,695.0
0,2,8,13,7,3,42.0,5,108.0
7,2,19,10,7,1,95.0,6,252.0
7,2,9,9,7,3,85.0,8,255.0
9,2,16,9,7,3,89.0,7,255.0
11,2,5,14,7,3,47.0,5,135.0
4,1,13,13,7,1,35.0,6,99.0
0,2,18,6,7,3,50.0,7,119.0
4,0,5,9,7,2,39.0,16,200.0
3,0,6,16,7,2,88.0,21,310.0
7,1,14,13,7,2,38.0,6,150.0
9,2,18,10,5,0,87.0,7,210.0
1,2,18,2,5,0,67.0,7,199.0
9,2,12,17,5,3,124.0,6,420.0
9,2,17,10,5,3,102.0,6,285.0
9,2,12,9,5,3,76.0,6,320.0
9,2,18,17,5,0,134.0,7,360.0
9,2,18,10,5,0,88.0,7,230.0
9,2,11,10,5,0,89.0,6,260.0
9,2,18,2,5,0,74.0,7,190.0
9,2,18,16,5,0,116.0,7,270.0
9,2,16,10,5,3,91.0,7,260.0
9,2,13,25,5,3,194.0,7,480.0
9,2,2,33,6,3,457.0,12,1800.0
9,2,4,9,6,3,89.0,11,430.0
9,2,2,42,6,3,163.0,13,850.0
9,2,1,16,6,2,87.0,23,330.0
9,2,2,34,6,3,585.0,13,2100.0
9,2,2,33,6,1,343.0,10,1030.0
9,2,2,25,6,2,163.0,13,800.0
9,2,4,17,6,0,133.0,11,530.0
9,2,4,17,6,0,88.0,9,430.0
9,2,6,16,6,3,104.0,18,310.0
9,2,6,16,6,0,80.0,24,235.0
9,2,8,10,6,3,103.0,9,413.0
9,2,2,34,6,3,345.0,13,1150.0
1,2,6,2,6,2,57.0,18,220.0
9,2,16,24,4,2,123.0,5,250.0
9,2,2,17,4,1,391.0,10,1000.0
9,2,2,34,4,3,468.0,9,1400.0
9,2,6,16,4,0,102.0,14,210.0
9,2,6,17,4,0,141.0,15,308.0
12,2,6,9,4,3,74.0,10,223.0
9,2,6,17,4,0,123.0,10,320.0
9,2,16,17,4,0,123.0,7,265.0
9,2,6,17,4,0,102.0,12,240.0
9,2,6,17,4,3,108.0,17,260.0
9,2,7,17,4,0,98.0,5,230.0
9,2,6,40,4,3,198.0,12,398.0
9,2,2,17,5,3,121.0,14,320.0
9,2,8,9,5,3,86.0,7,238.0
7,2,18,9,5,3,87.0,7,253.0
9,2,9,16,5,1,127.0,7,390.0
7,2,18,9,5,0,87.0,7,260.0
9,2,10,10,5,3,87.0,7,236.0
9,2,10,10,5,0,87.0,7,238.0
9,2,9,17,5,1,157.0,7,445.0
9,2,9,17,5,3,134.0,7,365.0
9,2,9,17,5,3,152.0,7,380.0
9,2,12,16,5,0,131.0,6,310.0
9,2,9,17,5,1,139.0,7,370.0
9,2,11,17,5,2,135.0,7,340.0
9,2,18,9,5,0,87.0,6,245.0
9,2,18,9,5,0,86.0,7,265.0
9,2,18,17,5,0,118.0,7,295.0
12,2,18,2,5,3,67.0,7,210.0
7,2,18,9,5,0,85.0,7,235.0
9,2,17,10,5,0,101.0,6,275.0
9,2,15,17,5,1,337.0,7,780.0
9,2,18,17,5,0,117.0,7,330.0
9,2,17,17,5,3,107.0,5,305.0
9,2,18,17,5,1,136.0,7,338.0
9,2,9,16,5,1,151.0,7,350.0
9,2,18,17,5,0,125.0,5,328.0
9,2,11,10,5,2,88.0,7,260.0
9,0,4,16,14,3,170.0,15,596.0
9,0,6,9,14,2,65.0,29,252.0
9,1,16,16,14,3,118.0,16,534.6
13,2,25,20,14,2,86.0,6,260.0
7,2,15,1,14,2,53.0,11,228.0
9,1,7,17,14,3,141.0,6,776.0
7,0,6,9,14,2,62.0,33,238.0
0,0,6,9,14,0,66.0,27,229.0
9,0,6,9,14,3,83.0,26,310.0
7,1,16,2,14,2,66.0,19,278.0
9,0,4,25,14,0,195.0,15,799.0
3,0,6,9,14,2,74.0,14,262.0
9,0,6,9,14,2,49.0,29,215.0
7,0,6,9,14,2,64.0,26,260.0
9,2,8,17,14,1,171.0,5,850.0
9,0,6,10,14,2,103.0,19,430.0
9,0,6,9,14,2,66.0,28,298.0
9,0,6,9,14,2,49.0,29,200.0
9,0,6,9,14,0,89.0,11,311.0
9,0,6,17,14,3,170.0,15,620.0
9,2,4,8,14,2,39.0,63,155.0
9,2,6,16,14,0,135.0,5,649.0
9,0,6,9,14,2,79.0,28,248.0
7,1,14,2,14,3,66.0,14,279.0
7,1,24,9,14,2,83.0,8,380.0
7,1,21,9,14,3,92.0,6,398.0
9,1,19,25,14,1,220.0,6,945.0
9,1,8,17,14,3,139.0,6,750.0
9,1,23,9,14,0,92.0,9,442.0
7,2,7,2,14,2,41.0,27,178.0
7,1,26,9,14,0,88.0,9,440.0
9,0,6,9,14,2,72.0,16,240.0
0,1,24,9,14,2,109.0,18,436.0
9,0,4,9,14,1,171.0,15,600.0
9,1,3,35,14,3,656.0,8,2900.0
9,2,6,9,14,0,96.0,24,320.0
9,1,10,25,14,3,127.0,7,900.0
9,0,7,17,14,0,139.0,17,515.0
9,1,9,16,14,3,129.0,9,580.0
9,2,6,9,14,0,89.0,11,283.0
9,0,6,16,14,3,61.0,41,200.0
9,0,6,25,14,3,133.0,15,480.0
9,2,5,24,14,1,236.0,5,1300.0
9,1,5,26,14,3,541.0,8,2200.0
3,2,6,9,14,3,88.0,25,268.0
9,2,7,9,14,2,93.0,22,310.0
9,0,5,16,14,2,65.0,51,265.0
7,0,6,1,14,0,48.0,12,193.0
4,1,24,2,14,2,82.0,18,310.0
9,2,6,9,14,2,63.0,29,239.0
3,1,6,16,14,0,117.0,7,560.0
9,2,9,16,14,3,140.0,6,730.0
9,0,6,9,14,3,66.0,29,223.0
9,0,6,10,14,3,101.0,18,390.0
9,1,7,17,14,1,140.0,6,950.0
7,1,24,9,14,3,83.0,8,386.0
9,2,6,9,14,0,89.0,18,320.0
7,0,6,1,14,2,47.0,12,200.0
9,0,6,16,14,2,102.0,20,390.0
9,0,6,16,14,0,104.0,26,385.0
9,1,26,9,14,0,91.0,9,440.0
9,0,4,9,14,3,76.0,14,280.0
9,1,26,9,14,3,92.0,9,425.0
9,1,26,9,14,3,91.0,9,430.0
9,0,6,9,14,2,56.0,39,238.0
7,1,21,9,14,1,92.0,6,406.0
9,1,21,17,14,3,140.0,6,603.0
2,1,20,9,14,3,99.0,10,489.0
9,1,10,25,14,3,211.0,9,1100.0
7,1,26,9,14,3,88.0,9,410.0
9,0,6,16,14,2,112.0,21,400.0
3,0,7,24,14,3,145.0,17,528.0
9,1,10,16,14,3,128.0,7,660.0
7,0,6,17,14,0,169.0,16,715.0
7,1,23,9,14,3,87.0,9,390.0
3,0,6,9,14,0,86.0,25,340.0
7,1,23,9,14,3,87.0,9,417.0
13,2,20,9,14,2,103.0,10,505.0
9,0,6,16,14,0,64.0,29,245.0
4,1,14,1,14,3,46.0,15,198.0
9,0,6,9,14,0,61.0,28,239.0
9,0,6,9,14,2,99.0,21,310.0
3,1,9,9,14,3,91.0,11,330.0
9,1,10,16,14,3,130.0,7,950.0
9,2,23,9,14,3,93.0,9,445.0
9,0,6,25,14,3,164.0,14,650.0
0,1,24,2,14,3,84.0,18,330.0
9,0,6,9,14,3,67.0,25,298.0
9,0,6,33,14,2,164.0,24,590.0
9,0,4,17,14,3,170.0,15,500.0
7,0,6,2,14,2,61.0,20,240.0
11,1,24,9,14,2,109.0,18,460.0
7,0,6,1,14,0,44.0,12,188.0
9,0,6,9,14,0,83.0,19,293.0
9,2,6,9,14,2,69.0,41,229.0
9,2,6,2,14,3,65.0,11,215.0
1,0,7,9,14,2,91.0,25,305.0
9,0,6,9,14,1,84.0,11,290.0
9,0,6,9,14,2,93.0,22,340.0
9,0,6,9,14,3,86.0,24,328.0
7,1,26,9,14,3,88.0,9,408.0
9,0,6,9,14,3,80.0,23,320.0
9,2,24,25,14,3,165.0,4,1090.0
9,1,10,9,14,3,95.0,14,400.0
9,1,26,9,14,3,91.0,9,440.0
9,1,21,16,14,3,121.0,6,560.0
9,0,6,9,14,3,71.0,11,245.0
9,2,6,9,14,0,60.0,33,246.0
9,0,6,9,14,3,89.0,11,310.0
9,0,7,9,14,0,99.0,17,416.0
11,1,24,10,14,3,120.0,18,450.0
9,0,6,9,14,3,98.0,13,405.0
3,1,13,16,14,3,132.0,16,520.0
9,0,6,10,14,0,87.0,21,300.0
9,1,27,16,14,2,89.0,8,446.5
9,1,20,17,14,3,148.0,10,740.0
9,0,6,9,14,0,92.0,25,348.0
3,2,7,9,14,3,99.0,17,350.0
7,1,19,9,14,2,97.0,6,430.0
9,2,6,9,14,2,55.0,35,170.0
9,0,6,25,14,3,204.0,15,650.0
9,0,6,9,14,2,64.0,34,245.0
9,1,12,16,14,3,123.0,17,480.0
9,0,6,9,14,0,90.0,11,310.0
12,1,20,10,14,0,100.0,10,500.0
9,0,6,9,14,2,62.0,35,206.0
9,0,6,16,14,2,120.0,24,420.0
9,2,26,9,14,3,91.0,9,420.0
0,2,6,9,14,3,90.0,14,317.0
11,0,7,2,14,0,41.0,27,193.0
3,0,7,9,14,0,101.0,17,355.0
9,1,26,9,14,3,91.0,9,425.0
9,1,20,9,14,3,110.0,5,470.0
9,0,6,9,14,3,90.0,11,310.0
9,1,20,9,14,2,64.0,9,275.0
9,0,6,9,14,0,89.0,11,305.0
12,2,14,2,14,0,58.0,15,240.0
9,1,26,9,14,3,91.0,9,440.0
3,1,18,9,14,0,92.0,13,375.0
0,1,24,9,14,0,117.0,18,450.0
9,1,14,9,14,0,99.0,14,399.0
9,1,24,16,14,3,119.0,8,600.0
9,0,6,16,14,2,87.0,25,350.0
9,0,6,16,14,0,97.0,24,350.0
9,0,6,24,14,0,148.0,15,540.0
9,0,6,9,14,3,60.0,29,240.0
9,0,6,16,14,2,112.0,21,450.0
9,0,5,9,14,0,61.0,51,228.0
3,1,18,9,14,3,97.0,13,405.0
9,0,6,9,14,0,90.0,22,360.0
11,1,24,10,14,3,117.0,18,465.0
9,0,6,9,14,2,54.0,38,216.0
9,2,21,16,14,3,121.0,5,565.0
9,0,6,9,14,0,70.0,11,248.0
7,0,6,9,14,2,60.0,31,222.0
9,0,6,9,14,2,54.0,29,215.0
7,0,6,2,14,2,48.0,25,195.0
9,1,12,17,14,0,113.0,17,450.0
9,0,6,9,14,2,89.0,18,310.0
9,0,6,9,14,0,83.0,21,292.0
13,2,20,9,14,0,99.0,10,478.0
7,2,6,9,14,3,72.0,24,300.0
9,1,10,25,14,3,212.0,7,1100.0
9,0,6,16,14,3,92.0,24,341.0
9,2,6,9,14,0,90.0,16,375.0
7,1,24,9,14,2,83.0,8,380.0
7,2,24,9,14,2,83.0,8,386.0
9,0,6,9,14,0,82.0,21,289.0
9,1,11,9,14,2,117.0,19,447.5
7,1,20,9,14,3,62.0,9,245.0
9,0,6,9,14,2,76.0,20,260.0
9,2,8,17,14,3,139.0,6,837.0
9,0,6,9,14,0,79.0,24,303.0
9,0,7,9,14,3,82.0,22,290.0
9,1,10,17,14,3,129.0,7,674.0
2,0,6,9,14,2,72.0,21,275.0
12,0,6,2,14,3,52.0,16,222.0
9,2,6,17,14,1,135.0,5,670.0
9,0,6,25,14,1,203.0,15,580.0
7,0,6,9,14,2,67.0,10,269.0
12,2,6,9,14,2,73.0,21,265.0
7,1,24,9,14,2,92.0,18,360.0
12,0,6,9,14,0,48.0,34,220.0
9,0,6,9,14,2,113.0,25,385.0
10,1,12,9,14,3,89.0,10,367.9
7,1,18,9,14,2,58.0,33,215.0
9,0,6,16,14,0,131.0,15,522.0
2,1,14,1,14,0,42.0,15,213.0
9,0,6,9,14,3,87.0,26,325.0
3,1,14,9,14,2,72.0,15,300.0
9,0,6,9,14,3,99.0,16,406.0
4,1,24,2,14,2,84.0,18,330.0
9,0,6,9,14,2,74.0,21,260.0
7,1,27,9,14,3,85.0,8,410.0
3,2,6,9,14,3,72.0,26,274.0
3,0,6,10,14,3,91.0,41,330.0
9,0,7,17,14,2,150.0,22,550.0
7,1,9,9,14,3,83.0,9,420.0
9,1,21,17,14,1,131.0,6,659.0
7,1,27,9,14,2,90.0,6,407.0
3,1,10,9,14,3,95.0,9,479.0
7,1,27,9,14,3,87.0,6,388.0
9,1,21,16,14,1,130.0,6,560.0
13,0,6,9,14,2,93.0,19,340.0
9,0,5,9,14,0,57.0,35,115.0
2,2,24,2,14,0,80.0,20,298.0
9,0,6,9,14,2,61.0,28,252.0
9,0,6,2,14,3,65.0,11,225.0
11,1,24,2,14,3,84.0,18,330.0
9,0,6,2,14,0,66.0,15,290.0
0,2,13,2,14,2,80.0,16,330.0
9,0,6,9,14,3,69.0,21,308.0
11,0,7,2,14,2,61.0,25,210.0
9,0,6,8,14,2,76.0,22,300.0
4,1,14,1,14,2,46.0,15,208.0
9,0,6,17,14,2,158.0,13,480.0
9,2,6,16,14,1,135.0,5,649.0
0,1,13,2,14,2,80.0,16,308.0
9,0,6,9,14,2,81.0,35,283.0
11,0,6,9,14,3,59.0,11,255.0
9,0,6,25,14,3,160.0,15,625.0
7,0,6,9,14,3,58.0,29,229.0
9,2,6,9,14,3,98.0,14,400.0
9,1,10,9,14,3,111.0,7,580.0
9,0,7,9,14,3,68.0,17,285.0
9,0,6,9,14,2,69.0,29,176.0
7,1,21,16,14,3,88.0,8,408.0
9,0,6,16,14,2,103.0,19,434.0
9,0,6,25,14,3,144.0,15,550.0
9,2,6,16,14,0,135.0,14,569.0
2,2,26,16,14,3,89.0,8,439.0
9,0,6,9,14,0,60.0,29,250.0
9,1,18,24,14,0,156.0,13,672.0
9,2,14,10,14,2,99.0,16,390.0
7,2,27,9,14,2,85.0,8,393.0
3,1,6,16,14,0,116.0,7,590.0
9,0,6,9,14,3,88.0,11,282.0
9,0,6,16,14,0,128.0,25,420.0
9,2,6,9,14,3,93.0,21,280.0
9,0,6,9,14,0,64.0,26,251.0
9,0,6,9,14,0,54.0,33,243.0
9,2,6,16,14,3,119.0,18,400.0
13,2,12,9,14,3,89.0,10,364.0
0,1,24,9,14,3,106.0,18,430.0
9,0,6,2,14,3,47.0,46,153.0
9,0,7,2,14,3,67.0,22,238.0
9,0,6,9,14,2,57.0,25,235.0
9,0,6,9,14,3,64.0,31,240.0
